log2(FC),log10(p),sig_FDR,diffexpressed,delabel,label,FC,p_val
-0.2889456781879336,0.1871,FALSE,NO,NA,not,0.8185,1.5385
-1.2983178797047168,0.7703,FALSE,NO,NA,not,0.4066,5.8925
-0.600993013527603,0.8189,FALSE,NO,NA,not,0.6593,6.5902
-0.1666645908625292,0.175,FALSE,NO,NA,not,0.8909,1.4962
-0.2819124160394832,0.3849,FALSE,NO,NA,not,0.8225,2.4261
0.4743581628754001,0.3994,FALSE,NO,NA,not,1.3893,2.5084
-0.7641504234924366,1.0441,FALSE,NO,NA,not,0.5888,11.0688
-0.9411986463838138,0.8954,FALSE,NO,NA,not,0.5208,7.8596
-1.9067102699985232,1.1791,FALSE,NO,NA,not,0.2667,15.1043
-1.469130202068591,0.9913,FALSE,NO,NA,not,0.3612,9.8017
-1.4595758953553424,1.0644,FALSE,NO,NA,not,0.3636,11.5985
-1.320486120713456,1.7793,FALSE,NO,NA,not,0.4004,60.1589
-1.0445383960764985,2.843,TRUE,DOWN,NA,sig,0.4848,696.6265
-1.0652193273029835,1.5092,FALSE,NO,NA,not,0.4779,32.2998
-1.5145731728297582,1.8068,FALSE,NO,NA,not,0.35,64.0914
-0.862496476250065,1.5013,FALSE,NO,NA,not,0.55,31.7176
-0.5378429521526055,1.1321,FALSE,NO,NA,not,0.6888,13.555
-1.8619719552332388,1.5558,FALSE,NO,NA,not,0.2751,35.9584
-1.5593666648384727,1.4462,FALSE,NO,NA,not,0.3393,27.9383
-2.407363571393423,1.5489,FALSE,NO,NA,not,0.1885,35.3916
-2.5088139035410735,2.2237,FALSE,NO,NA,not,0.1757,167.3786
-0.6522209732977382,0.5295,FALSE,NO,NA,not,0.6363,3.3845
-0.6007742078790621,0.9997,FALSE,NO,NA,not,0.6594,9.9931
0.7729835521381047,1.8662,FALSE,NO,NA,not,1.7088,73.4852
1.0148551501991974,2.145,FALSE,NO,NA,not,2.0207,139.6368
-1.0359341225135816,1.5115,FALSE,NO,NA,not,0.4877,32.4713
-0.9023892033735776,1.5,FALSE,NO,NA,not,0.535,31.6228
-1.3050752458800257,1.9316,FALSE,NO,NA,not,0.4047,85.428
-0.1708811036507394,0.539,FALSE,NO,NA,not,0.8883,3.4594
-0.12343394124827903,0.3635,FALSE,NO,NA,not,0.918,2.3094
-1.1414619336634642,1.4649,FALSE,NO,NA,not,0.4533,29.1676
-0.04885985323379439,0.0894,FALSE,NO,NA,not,0.9667,1.2286
-0.21156485152694407,0.7385,FALSE,NO,NA,not,0.8636,5.4765
-0.6854774782083852,2.3969,TRUE,DOWN,NA,sig,0.6218,249.402
-1.855170479161191,2.0935,FALSE,NO,NA,not,0.2764,124.0224
-1.9788045754855104,1.9538,FALSE,NO,NA,not,0.2537,89.9083
-0.8344417455388263,1.4741,FALSE,NO,NA,not,0.5608,29.792
-2.2813863010245155,2.0416,FALSE,NO,NA,not,0.2057,110.0525
-0.3727667235091253,0.8212,FALSE,NO,NA,not,0.7723,6.6252
-0.015665855159511608,0.0964,FALSE,NO,NA,not,0.9892,1.2485
0.22909566135537973,0.4705,FALSE,NO,NA,not,1.1721,2.9546
-0.32156746620384746,1.2972,FALSE,NO,NA,not,0.8002,19.8244
0.29736752321765925,0.4366,FALSE,NO,NA,not,1.2289,2.7328
-0.13907691900077976,0.1341,FALSE,NO,NA,not,0.9081,1.3618
0.5370475194046574,1.0996,FALSE,NO,NA,not,1.451,12.5777
-0.8282807609121521,1.3537,FALSE,NO,NA,not,0.5632,22.5788
-1.0162493516450748,1.5323,FALSE,NO,NA,not,0.4944,34.0643
-1.2712522745702424,1.9782,FALSE,NO,NA,not,0.4143,95.1043
-0.7420238839892352,0.8525,FALSE,NO,NA,not,0.5979,7.1203
-1.1284717291377768,1.0206,FALSE,NO,NA,not,0.4574,10.4858
0.3366261657635356,1.6788,FALSE,NO,NA,not,1.2628,47.7309
-0.6968914486189254,1.9293,FALSE,NO,NA,not,0.6169,84.9767
-2.8241880062782694,1.8994,FALSE,NO,NA,not,0.1412,79.3232
-0.529697421054178,3.0206,TRUE,DOWN,PC 18:0_20:4,sig,0.6927,1048.5762
-0.8339273240532941,1.219,FALSE,NO,NA,not,0.561,16.5577
-1.7360041179287609,1.8793,FALSE,NO,NA,not,0.3002,75.7356
-1.6398043052676419,1.6886,FALSE,NO,NA,not,0.3209,48.8203
-0.4941090702700427,1.7041,FALSE,NO,NA,not,0.71,50.5941
0.06529656712778095,0.1641,FALSE,NO,NA,not,1.0463,1.4592
-0.436158521119672,1.0906,FALSE,NO,NA,not,0.7391,12.3197
0.7106136023826765,1.6513,FALSE,NO,NA,not,1.6365,44.8023
0.12934896721084121,0.2442,FALSE,NO,NA,not,1.0938,1.7547
-1.143054136717567,1.7709,FALSE,NO,NA,not,0.4528,59.0065
-1.1262655320314416,1.7545,FALSE,NO,NA,not,0.4581,56.8198
-1.8401125212694995,1.9588,FALSE,NO,NA,not,0.2793,90.9494
-0.4819685073978307,0.8676,FALSE,NO,NA,not,0.716,7.3722
-0.7062763900950658,0.8838,FALSE,NO,NA,not,0.6129,7.6524
-0.9285118944158176,1.3032,FALSE,NO,NA,not,0.5254,20.1002
-1.929610672108602,1.6926,FALSE,NO,NA,not,0.2625,49.272
-0.4402634755670174,0.9886,FALSE,NO,NA,not,0.737,9.7409
-1.0852824135340968,1.8342,FALSE,NO,NA,not,0.4713,68.2653
-1.110604337845756,2.4768,TRUE,DOWN,PC 18:3_22:6,sig,0.4631,299.7782
-4.135427537242868,2.319,TRUE,DOWN,NA,sig,0.0569,208.4491
-2.3400754415976217,1.9996,FALSE,NO,NA,not,0.1975,99.9079
-3.6601784950766576,2.2051,FALSE,NO,NA,not,0.0791,160.3615
-2.8751425327442397,2.0284,FALSE,NO,NA,not,0.1363,106.7579
0.8697135102553826,2.8407,TRUE,UP,NA,sig,1.8273,692.947
-1.1332106856846842,1.8831,FALSE,NO,NA,not,0.4559,76.4012
-0.25997912979661736,0.7003,FALSE,NO,NA,not,0.8351,5.0153
-0.5278241963276145,0.8562,FALSE,NO,NA,not,0.6936,7.1812
-0.1022174553385833,0.2928,FALSE,NO,NA,not,0.9316,1.9625
-0.6522209732977382,0.6836,FALSE,NO,NA,not,0.6363,4.8261
-0.36587144247495934,0.7424,FALSE,NO,NA,not,0.776,5.5259
-1.5236701622428623,1.2507,FALSE,NO,NA,not,0.3478,17.8115
-0.7300093655116824,1.2097,FALSE,NO,NA,not,0.6029,16.2069
-1.6702449142552531,1.3869,FALSE,NO,NA,not,0.3142,24.3725
-3.5030775339919287,1.991,FALSE,NO,NA,not,0.0882,97.949
-0.7936068314883961,0.9409,FALSE,NO,NA,not,0.5769,8.7277
-0.68478158863421,0.5954,FALSE,NO,NA,not,0.6221,3.9391
-0.7996212020159738,1.0785,FALSE,NO,NA,not,0.5745,11.9812
-0.835986111474943,1.878,FALSE,NO,NA,not,0.5602,75.5092
-2.289827251720338,1.8749,FALSE,NO,NA,not,0.2045,74.9722
-0.5445609854369495,0.6411,FALSE,NO,NA,not,0.6856,4.3762
-0.994240730711315,1.9857,FALSE,NO,NA,not,0.502,96.7609
-1.6579004351672157,1.9943,FALSE,NO,NA,not,0.3169,98.6961
-1.4301200938519236,1.4859,FALSE,NO,NA,not,0.3711,30.6126
-1.7297700927620023,2.1722,FALSE,NO,NA,not,0.3015,148.662
-2.008682243099801,2.9511,TRUE,DOWN,NA,sig,0.2485,893.5112
-2.9170249727422317,3.105,TRUE,DOWN,NA,sig,0.1324,1273.5031
-1.4631513495791695,1.9545,FALSE,NO,NA,not,0.3627,90.0534
-2.5691795034802283,2.0038,FALSE,NO,NA,not,0.1685,100.8788
-0.9021195659480868,1.7229,FALSE,NO,NA,not,0.5351,52.8324
-1.4050693301876083,0.9949,FALSE,NO,NA,not,0.3776,9.8833
-2.4320652135221836,1.8602,FALSE,NO,NA,not,0.1853,72.477
-0.8585672090707045,1.0202,FALSE,NO,NA,not,0.5515,10.4761
-2.6420539471407394,2.0758,FALSE,NO,NA,not,0.1602,119.0694
-0.19396471676378066,0.0732,FALSE,NO,NA,not,0.8742,1.1836
-1.9110443176917815,3.3119,TRUE,DOWN,NA,sig,0.2659,2050.6899
-1.5683235586073672,5.4263,TRUE,DOWN,NA,sig,0.3372,266870.1502
-1.8365012677171204,1.7384,FALSE,NO,NA,not,0.28,54.752
-1.6357637688260032,1.5007,FALSE,NO,NA,not,0.3218,31.6738
-0.3934630166852189,0.9192,FALSE,NO,NA,not,0.7613,8.3023
0.06364099264269589,0.0546,FALSE,NO,NA,not,1.0451,1.134
-1.1112275322575584,1.4409,FALSE,NO,NA,not,0.4629,27.5994
-0.7393720918733014,1.3897,FALSE,NO,NA,not,0.599,24.5301
-0.7437139294149082,1.3966,FALSE,NO,NA,not,0.5972,24.923
-0.863808613712856,1.3889,FALSE,NO,NA,not,0.5495,24.485
-1.0218043703183484,1.8681,FALSE,NO,NA,not,0.4925,73.8074
-1.205563338195578,1.3868,FALSE,NO,NA,not,0.4336,24.3669
-1.9013109559086716,2.5531,TRUE,DOWN,NA,sig,0.2677,357.3551
-1.145924537878446,1.8594,FALSE,NO,NA,not,0.4519,72.3436
-2.512925319948276,2.2343,FALSE,NO,NA,not,0.1752,171.5142
-1.2806851126554808,1.4706,FALSE,NO,NA,not,0.4116,29.5529
-2.269512200736224,2.2785,FALSE,NO,NA,not,0.2074,189.8891
-1.3320624720210754,1.5507,FALSE,NO,NA,not,0.3972,35.5386
-1.9822205874387653,1.3179,FALSE,NO,NA,not,0.2531,20.7922
-0.4977712511585331,2.2277,FALSE,NO,NA,not,0.7082,168.9274
-1.3481331652347563,0.8763,FALSE,NO,NA,not,0.3928,7.5214
-0.5069675818716592,1.2331,FALSE,NO,NA,not,0.7037,17.1041
0.12075005333492556,0.5898,FALSE,NO,NA,not,1.0873,3.8887
-0.49919794694284236,1.0301,FALSE,NO,NA,not,0.7075,10.7177
-1.356975041986563,2.61,TRUE,DOWN,PE 18:0_22:6.1,sig,0.3904,407.3803
-0.6739229150768691,1.3338,FALSE,NO,NA,not,0.6268,21.5675
-0.806165189346162,0.7323,FALSE,NO,NA,not,0.5719,5.3988
-0.7558436043718957,0.7019,FALSE,NO,NA,not,0.5922,5.0338
-1.1883645691462563,1.1182,FALSE,NO,NA,not,0.4388,13.128
-2.541198058410986,1.7015,FALSE,NO,NA,not,0.1718,50.2921
-1.5104570643575264,1.5736,FALSE,NO,NA,not,0.351,37.4628
-0.38967790355796306,0.5112,FALSE,NO,NA,not,0.7633,3.2449
-1.2757863132426417,1.4847,FALSE,NO,NA,not,0.413,30.5281
-1.352178966598703,2.3894,TRUE,DOWN,NA,sig,0.3917,245.132
-2.437525541903675,1.9713,FALSE,NO,NA,not,0.1846,93.6052
-2.5968413702571356,1.7464,FALSE,NO,NA,not,0.1653,55.7699
-1.3811975347024998,3.0226,TRUE,DOWN,NA,sig,0.3839,1053.4162
-1.7621915704543796,1.0041,FALSE,NO,NA,not,0.2948,10.0949
-1.068241312155092,1.8117,FALSE,NO,NA,not,0.4769,64.8187
-1.1090475285429775,1.8099,FALSE,NO,NA,not,0.4636,64.5506
-1.3075728019102921,2.0861,FALSE,NO,NA,not,0.404,121.927
-1.5290727425248734,1.6261,FALSE,NO,NA,not,0.3465,42.2766
-4.6152870375779536,3.0442,TRUE,DOWN,NA,sig,0.0408,1107.1335
-2.6029637591278236,1.8738,FALSE,NO,NA,not,0.1646,74.7825
-5.299027692777283,1.7575,FALSE,NO,NA,not,0.0254,57.2137
