Name,Condition,variable,value,FA
5,pLV_NT,18:1_18:0,1.7260813319673425,18:1
6,pLV_HNF4a,18:1_18:0,0,18:1
7,PPARa_NT,18:1_18:0,0,18:1
8,PPARa_HNF4a,18:1_18:0,2.0030638370262346,18:1
9,pLV_NT,18:1_18:0,0,18:1
10,pLV_HNF4a,18:1_18:0,1.577568409764782,18:1
11,PPARa_NT,18:1_18:0,1.5017725410554372,18:1
12,PPARa_HNF4a,18:1_18:0,1.363231347225384,18:1
1,pLV_NT,18:1_20:0,0.5720147121444018,18:1
2,pLV_HNF4a,18:1_20:0,0,18:1
3,PPARa_NT,18:1_20:0,0.45057322572408653,18:1
4,PPARa_HNF4a,18:1_20:0,0,18:1
5,pLV_NT,18:1_20:0,0,18:1
6,pLV_HNF4a,18:1_20:0,0,18:1
7,PPARa_NT,18:1_20:0,0,18:1
8,PPARa_HNF4a,18:1_20:0,0.353713401501659,18:1
9,pLV_NT,18:1_20:0,0.4041747929588305,18:1
10,pLV_HNF4a,18:1_20:0,0,18:1
11,PPARa_NT,18:1_20:0,0.476959824145075,18:1
12,PPARa_HNF4a,18:1_20:0,0.5630025504810309,18:1
1,pLV_NT,18:1_22:0,3.0096228168553063,18:1
2,pLV_HNF4a,18:1_22:0,3.475838023089865,18:1
3,PPARa_NT,18:1_22:0,2.8992864759655625,18:1
4,PPARa_HNF4a,18:1_22:0,2.8005835337243,18:1
5,pLV_NT,18:1_22:0,3.063207261748166,18:1
6,pLV_HNF4a,18:1_22:0,3.2703177198742615,18:1
7,PPARa_NT,18:1_22:0,3.209791953617866,18:1
8,PPARa_HNF4a,18:1_22:0,2.693028663594992,18:1
9,pLV_NT,18:1_22:0,2.790188428199666,18:1
10,pLV_HNF4a,18:1_22:0,3.0670735441503165,18:1
11,PPARa_NT,18:1_22:0,2.659064678252096,18:1
12,PPARa_HNF4a,18:1_22:0,2.5301507872712303,18:1
1,pLV_NT,18:1_24:0,9.0522982209303,18:1
2,pLV_HNF4a,18:1_24:0,10.604337573397578,18:1
3,PPARa_NT,18:1_24:0,8.872301502192709,18:1
4,PPARa_HNF4a,18:1_24:0,9.149099614493547,18:1
5,pLV_NT,18:1_24:0,9.882647354046012,18:1
6,pLV_HNF4a,18:1_24:0,9.4344450363858,18:1
7,PPARa_NT,18:1_24:0,9.402422721796976,18:1
8,PPARa_HNF4a,18:1_24:0,8.5563337717502,18:1
9,pLV_NT,18:1_24:0,8.876266503563285,18:1
10,pLV_HNF4a,18:1_24:0,9.79758676618231,18:1
11,PPARa_NT,18:1_24:0,8.323991698099597,18:1
12,PPARa_HNF4a,18:1_24:0,7.86699959554921,18:1
1,pLV_NT,18:2_16:0,2.3305242710143936,18:2
2,pLV_HNF4a,18:2_16:0,3.1827110594141765,18:2
3,PPARa_NT,18:2_16:0,2.4747094083756283,18:2
4,PPARa_HNF4a,18:2_16:0,2.573808377739419,18:2
5,pLV_NT,18:2_16:0,2.631141224515237,18:2
6,pLV_HNF4a,18:2_16:0,2.8506235207211588,18:2
7,PPARa_NT,18:2_16:0,2.4885280003280688,18:2
8,PPARa_HNF4a,18:2_16:0,2.579326399959029,18:2
9,pLV_NT,18:2_16:0,2.419936231870279,18:2
10,pLV_HNF4a,18:2_16:0,2.7777784479771492,18:2
11,PPARa_NT,18:2_16:0,2.237511847147692,18:2
12,PPARa_HNF4a,18:2_16:0,2.2336408724250028,18:2
1,pLV_NT,18:1_18:0,0.09029808855657004,18:1
2,pLV_HNF4a,18:1_18:0,1.2511109423343303,18:1
3,PPARa_NT,18:1_18:0,0.806074024339158,18:1
4,PPARa_HNF4a,18:1_18:0,0.631439828750399,18:1
5,pLV_NT,18:1_18:0,0.8741662968015438,18:1
6,pLV_HNF4a,18:1_18:0,1.0031309941342943,18:1
7,PPARa_NT,18:1_18:0,0.6965531237935669,18:1
8,PPARa_HNF4a,18:1_18:0,0.8056627406825035,18:1
9,pLV_NT,18:1_18:0,0.7727355563754256,18:1
10,pLV_HNF4a,18:1_18:0,0.8388759867586543,18:1
11,PPARa_NT,18:1_18:0,0.52665629062923,18:1
12,PPARa_HNF4a,18:1_18:0,0.6702824174798651,18:1
1,pLV_NT,18:0_16:0,1.7957186209348677,16:0
2,pLV_HNF4a,18:0_16:0,1.8270428582635565,16:0
3,PPARa_NT,18:0_16:0,1.9205140062314423,16:0
4,PPARa_HNF4a,18:0_16:0,1.7574761881773695,16:0
5,pLV_NT,18:0_16:0,1.721452254611857,16:0
6,pLV_HNF4a,18:0_16:0,1.5502758831364818,16:0
7,PPARa_NT,18:0_16:0,1.8579501901268227,16:0
8,PPARa_HNF4a,18:0_16:0,1.6299116315691211,16:0
9,pLV_NT,18:0_16:0,1.8802027054206965,16:0
10,pLV_HNF4a,18:0_16:0,1.7171782041081158,16:0
11,PPARa_NT,18:0_16:0,1.7990222983474145,16:0
12,PPARa_HNF4a,18:0_16:0,1.6139003530623404,16:0
1,pLV_NT,18:0_18:0,0.07203037683147176,18:0
2,pLV_HNF4a,18:0_18:0,0,18:0
3,PPARa_NT,18:0_18:0,0.12257057673321928,18:0
4,PPARa_HNF4a,18:0_18:0,0.07784320945463744,18:0
5,pLV_NT,18:0_18:0,0.07077219485357988,18:0
6,pLV_HNF4a,18:0_18:0,0.10920120506651897,18:0
7,PPARa_NT,18:0_18:0,0.09584416897620104,18:0
8,PPARa_HNF4a,18:0_18:0,0.06331050244546313,18:0
9,pLV_NT,18:0_18:0,0.090533398249084407,18:0
10,pLV_HNF4a,18:0_18:0,0.11255622175527134,18:0
11,PPARa_NT,18:0_18:0,0.06917867339182034,18:0
12,PPARa_HNF4a,18:0_18:0,0.07021735722794549,18:0
1,pLV_NT,17:1_16:0,0.35204349229028015,16:0
2,pLV_HNF4a,17:1_16:0,0.4601731681636531,16:0
3,PPARa_NT,17:1_16:0,0.34697118575490415,16:0
