Name,Condition,variable,value,FA
7,Control_cold, 18:0,0.01580597169023639, 18:0
8,Control_cold, 18:0,0.01011494454434168, 18:0
9,Control_cold, 18:0,0.01877437934477319, 18:0
10,Control_cold, 18:0,0.01277297315505896, 18:0
11,Control_cold, 18:0,0.00862209490690194, 18:0
12,Control_cold, 18:0,0.01164585601671694, 18:0
13,KO_cold, 18:0,0.0182117812229843, 18:0
14,KO_cold, 18:0,0.01773242092054063, 18:0
15,KO_cold, 18:0,0.01958272985569635, 18:0
16,KO_cold, 18:0,0.0466855977543075, 18:0
17,KO_cold, 18:0,0.01473954586825038, 18:0
18,KO_cold, 18:0,0.04759987726894862, 18:0
1,Control_RT, 18:1,0.01181828170147046, 18:1
2,Control_RT, 18:1,0.01734035808479573, 18:1
3,Control_RT, 18:1,0.01297434650934459, 18:1
4,KO_RT, 18:1,0.01442924848494132, 18:1
5,KO_RT, 18:1,0.04212147631900389, 18:1
6,KO_RT, 18:1,0.03663827373901084, 18:1
7,Control_cold, 18:1,0.01874106415748052, 18:1
8,Control_cold, 18:1,0.021317141923365458, 18:1
9,Control_cold, 18:1,0.03065067856828835, 18:1
10,Control_cold, 18:1,0.02996033374987337, 18:1
11,Control_cold, 18:1,0.02413107463180741, 18:1
12,Control_cold, 18:1,0.02163674349104813, 18:1
13,KO_cold, 18:1,0.04306418836192506, 18:1
14,KO_cold, 18:1,0.07227475716023994, 18:1
15,KO_cold, 18:1,0.09483747476075248, 18:1
16,KO_cold, 18:1,0.13440011061033902, 18:1
17,KO_cold, 18:1,0.03795716756354229, 18:1
18,KO_cold, 18:1,0.11458258194774858, 18:1
1,Control_RT, 18:2,0.00935806391210574, 18:2
2,Control_RT, 18:2,0.01060336580509166, 18:2
3,Control_RT, 18:2,0.00704298314293485, 18:2
4,KO_RT, 18:2,0.00366415215465941, 18:2
5,KO_RT, 18:2,0.01730312186083419, 18:2
6,KO_RT, 18:2,0.01294345581814869, 18:2
7,Control_cold, 18:2,0.01210310014299225, 18:2
8,Control_cold, 18:2,0.01099260647113325, 18:2
9,Control_cold, 18:2,0.02613132140067405, 18:2
10,Control_cold, 18:2,0.02307221223600803, 18:2
11,Control_cold, 18:2,0.01420757215823166, 18:2
12,Control_cold, 18:2,0.01634478455670509, 18:2
13,KO_cold, 18:2,0.01302921795542875, 18:2
14,KO_cold, 18:2,0.0303677212925775, 18:2
15,KO_cold, 18:2,0.05759916316628461, 18:2
16,KO_cold, 18:2,0.04217103115453691, 18:2
17,KO_cold, 18:2,0.01235146204665361, 18:2
18,KO_cold, 18:2,0.03662970283833677, 18:2
1,Control_RT, 20:1,0, 20:1
2,Control_RT, 20:1,0.00694752328844482, 20:1
3,Control_RT, 20:1,0.00713561812431194, 20:1
4,KO_RT, 20:1,0.00343273201857565, 20:1
5,KO_RT, 20:1,0.00797657927927866, 20:1
6,KO_RT, 20:1,0.00721064910254099, 20:1
7,Control_cold, 20:1,0.00819770419275599, 20:1
8,Control_cold, 20:1,0.00305435083477962, 20:1
9,Control_cold, 20:1,0.00506479682577464, 20:1
10,Control_cold, 20:1,0.00571414602106741, 20:1
11,Control_cold, 20:1,0.00481930861754994, 20:1
12,Control_cold, 20:1,0.00607018818939348, 20:1
13,KO_cold, 20:1,0.00820323595015818, 20:1
14,KO_cold, 20:1,0.00797867172278651, 20:1
15,KO_cold, 20:1,0.00895618095254562, 20:1
16,KO_cold, 20:1,0.02208005483674037, 20:1
17,KO_cold, 20:1,0.00667251297987861, 20:1
18,KO_cold, 20:1,0.02493817620349167, 20:1
1,Control_RT, 20:2,0.02039965569713853, 20:2
2,Control_RT, 20:2,0.01516107764296578, 20:2
3,Control_RT, 20:2,0.01409958907724869, 20:2
4,KO_RT, 20:2,0.01208459710619805, 20:2
5,KO_RT, 20:2,0.01283644716747539, 20:2
6,KO_RT, 20:2,0.01561954878908196, 20:2
7,Control_cold, 20:2,0.0153525588477167, 20:2
8,Control_cold, 20:2,0.01220430390737535, 20:2
9,Control_cold, 20:2,0.01245204108490663, 20:2
10,Control_cold, 20:2,0.01743892677184252, 20:2
11,Control_cold, 20:2,0.00926524491497622, 20:2
12,Control_cold, 20:2,0.00902745935858518, 20:2
13,KO_cold, 20:2,0.01201921553188856, 20:2
14,KO_cold, 20:2,0.01677277785430999, 20:2
15,KO_cold, 20:2,0.02232431203549384, 20:2
16,KO_cold, 20:2,0.02782400028886462, 20:2
17,KO_cold, 20:2,0.01073755112181524, 20:2
18,KO_cold, 20:2,0.03028976641996223, 20:2
