"Name","Formula","Mass (avg)","RSD (Mass, ppm)","Saturated","RT (avg)","RT (span)","Height (avg)","Found","Missed","Score (Tgt, max)","%RSD (Tgt)","Ions (min)","Ions (max)",[Mass] IS_4X_pos_091622_032,[Mass] sample_1_4X_pos_091622_015,[Mass] sample_10_4X_pos_091622_026,[Mass] sample_11_4X_pos_091622_027,[Mass] sample_12_4X_pos_091622_028,[Mass] sample_13_4X_pos_091622_029,[Mass] sample_2_4X_pos_091622_016,[Mass] sample_3_4X_pos_091622_017,[Mass] sample_4_4X_pos_091622_018,[Mass] sample_5_4X_pos_091622_019,[Mass] sample_6_4X_pos_091622_020,[Mass] sample_7_4X_pos_091622_023,[Mass] sample_8_4X_pos_091622_024,[Mass] sample_9_4X_pos_091622_025,[RT] IS_4X_pos_091622_032,[RT] sample_1_4X_pos_091622_015,[RT] sample_10_4X_pos_091622_026,[RT] sample_11_4X_pos_091622_027,[RT] sample_12_4X_pos_091622_028,[RT] sample_13_4X_pos_091622_029,[RT] sample_2_4X_pos_091622_016,[RT] sample_3_4X_pos_091622_017,[RT] sample_4_4X_pos_091622_018,[RT] sample_5_4X_pos_091622_019,[RT] sample_6_4X_pos_091622_020,[RT] sample_7_4X_pos_091622_023,[RT] sample_8_4X_pos_091622_024,[RT] sample_9_4X_pos_091622_025,[Height] IS_4X_pos_091622_032,[Height] sample_1_4X_pos_091622_015,[Height] sample_10_4X_pos_091622_026,[Height] sample_11_4X_pos_091622_027,[Height] sample_12_4X_pos_091622_028,[Height] sample_13_4X_pos_091622_029,[Height] sample_2_4X_pos_091622_016,[Height] sample_3_4X_pos_091622_017,[Height] sample_4_4X_pos_091622_018,[Height] sample_5_4X_pos_091622_019,[Height] sample_6_4X_pos_091622_020,[Height] sample_7_4X_pos_091622_023,[Height] sample_8_4X_pos_091622_024,[Height] sample_9_4X_pos_091622_025,[Score (MFE)] IS_4X_pos_091622_032,[Score (MFE)] sample_1_4X_pos_091622_015,[Score (MFE)] sample_10_4X_pos_091622_026,[Score (MFE)] sample_11_4X_pos_091622_027,[Score (MFE)] sample_12_4X_pos_091622_028,[Score (MFE)] sample_13_4X_pos_091622_029,[Score (MFE)] sample_2_4X_pos_091622_016,[Score (MFE)] sample_3_4X_pos_091622_017,[Score (MFE)] sample_4_4X_pos_091622_018,[Score (MFE)] sample_5_4X_pos_091622_019,[Score (MFE)] sample_6_4X_pos_091622_020,[Score (MFE)] sample_7_4X_pos_091622_023,[Score (MFE)] sample_8_4X_pos_091622_024,[Score (MFE)] sample_9_4X_pos_091622_025,[Score (Tgt)] IS_4X_pos_091622_032,[Score (Tgt)] sample_1_4X_pos_091622_015,[Score (Tgt)] sample_10_4X_pos_091622_026,[Score (Tgt)] sample_11_4X_pos_091622_027,[Score (Tgt)] sample_12_4X_pos_091622_028,[Score (Tgt)] sample_13_4X_pos_091622_029,[Score (Tgt)] sample_2_4X_pos_091622_016,[Score (Tgt)] sample_3_4X_pos_091622_017,[Score (Tgt)] sample_4_4X_pos_091622_018,[Score (Tgt)] sample_5_4X_pos_091622_019,[Score (Tgt)] sample_6_4X_pos_091622_020,[Score (Tgt)] sample_7_4X_pos_091622_023,[Score (Tgt)] sample_8_4X_pos_091622_024,[Score (Tgt)] sample_9_4X_pos_091622_025,[Ions] IS_4X_pos_091622_032,[Ions] sample_1_4X_pos_091622_015,[Ions] sample_10_4X_pos_091622_026,[Ions] sample_11_4X_pos_091622_027,[Ions] sample_12_4X_pos_091622_028,[Ions] sample_13_4X_pos_091622_029,[Ions] sample_2_4X_pos_091622_016,[Ions] sample_3_4X_pos_091622_017,[Ions] sample_4_4X_pos_091622_018,[Ions] sample_5_4X_pos_091622_019,[Ions] sample_6_4X_pos_091622_020,[Ions] sample_7_4X_pos_091622_023,[Ions] sample_8_4X_pos_091622_024,[Ions] sample_9_4X_pos_091622_025,
PC 18:1_22:5,C48 H84 N O8 P,833.5926,0.28,0,7.54,0.041,205928,13,1,98.0,0.5,14,19,,833.5926,833.5923,833.5926,833.5923,833.5923,833.5927,833.5927,833.5925,833.5928,833.5928,833.5930,833.5927,833.5923,,7.555,7.555,7.564,7.541,7.530,7.545,7.523,7.555,7.536,7.555,7.533,7.538,7.560,,285285,208192,257936,168312,117587,229602,161501,245797,258737,204279,185145,163734,190968,,,,,,,,,,,,,,,,97.97,97.77,96.92,97.44,96.57,97.46,96.33,97.47,96.74,96.56,96.75,97.42,96.97,,19,18,18,17,16,18,17,17,16,16,14,17,15,
PC 16:1_20:4,C44 H78 N O8 P,779.5461,0.31,0,6.88,0.028,205788,13,1,96.2,1.5,9,13,,779.5461,779.5460,779.5460,779.5460,779.5459,779.5464,779.5460,779.5460,779.5463,779.5463,779.5464,779.5462,779.5455,,6.880,6.880,6.882,6.878,6.878,6.891,6.876,6.880,6.895,6.895,6.880,6.874,6.901,,235230,251397,192900,173151,30991,374647,168856,102925,184877,298623,259640,241454,160556,,,,,,,,,,,,,,,,94.59,94.07,96.02,93.57,93.47,94.79,95.85,95.93,92.82,93.12,94.66,96.16,91.72,,12,10,11,9,12,12,9,9,9,10,11,13,12,
HexCer_NS d18:1_24:0,C48 H93 N O8,811.6892,0.33,0,11.37,0.039,481485,13,1,99.6,1.4,15,18,,811.6893,811.6889,811.6890,811.6890,811.6890,811.6891,811.6893,811.6892,811.6896,811.6894,811.6896,811.6894,811.6889,,11.364,11.389,11.373,11.358,11.351,11.360,11.367,11.361,11.380,11.376,11.356,11.370,11.383,,545925,528022,441837,429553,201083,662683,440609,438866,525187,633535,514050,493428,404530,,,,,,,,,,,,,,,,97.73,94.55,96.77,97.80,98.71,97.83,98.49,97.93,96.79,96.77,99.61,97.57,95.47,,17,18,18,17,16,16,16,15,16,17,16,16,17,
LPC 18:0/0:0,C26 H54 N O7 P,523.3633,0.32,0,3.67,0.016,180562,13,1,99.9,0.3,8,11,,523.3635,523.3631,523.3632,523.3631,523.3633,523.3634,523.3636,523.3633,523.3634,523.3634,523.3636,523.3632,523.3632,,3.669,3.670,3.683,3.677,3.676,3.667,3.679,3.667,3.674,3.680,3.670,3.682,3.670,,282900,194661,156593,160482,67906,246933,151075,153071,185454,238638,178911,174382,156313,,,,,,,,,,,,,,,,99.53,98.99,99.48,99.31,98.76,99.22,99.94,99.22,99.67,99.65,99.57,99.54,99.29,,9,11,10,10,8,10,11,10,10,11,10,10,8,
Cer_NS d18:1_24:0,C42 H83 N O3,649.6367,0.26,0,11.94,0.028,418188,13,1,99.7,0.6,12,16,,649.6366,649.6366,649.6367,649.6366,649.6365,649.6368,649.6368,649.6369,649.6370,649.6368,649.6369,649.6368,649.6364,,11.934,11.942,11.953,11.945,11.937,11.945,11.948,11.947,11.943,11.956,11.953,11.928,11.935,,477443,438353,390103,384584,194224,524930,395749,370392,456842,543416,459211,413520,387683,,,,,,,,,,,,,,,,99.43,98.84,97.88,98.61,98.95,98.92,98.61,98.61,99.16,97.72,98.12,99.68,98.88,,15,15,12,16,14,14,14,15,15,16,14,15,16,
HexCer_NS d18:1_16:0,C40 H77 N O8,699.5633,0.34,0,7.81,0.026,298874,13,1,99.2,0.4,13,17,,699.5631,699.5629,699.5630,699.5632,699.5635,699.5632,699.5634,699.5634,699.5633,699.5632,699.5634,699.5637,699.5629,,7.811,7.823,7.821,7.826,7.815,7.824,7.802,7.812,7.810,7.817,7.807,7.822,7.800,,254710,324583,279439,291675,176126,385303,288676,286224,326109,390434,311395,314373,256326,,,,,,,,,,,,,,,,98.75,97.98,98.80,98.21,98.41,97.98,99.15,98.80,98.92,98.52,99.17,98.37,98.59,,16,15,17,15,14,16,16,15,13,15,16,16,16,
Cer_NS d18:1_16:0,C34 H67 N O3,537.5117,0.42,0,8.47,0.090,267463,13,1,98.7,1.3,10,13,,537.5115,537.5114,537.5116,537.5116,537.5114,537.5122,537.5116,537.5118,537.5118,537.5118,537.5118,537.5118,537.5116,,8.419,8.398,8.485,8.411,8.467,8.410,8.482,8.481,8.418,8.470,8.488,8.425,8.487,,311002,294812,237991,255576,163311,330009,257970,254877,269215,313527,286165,264394,238178,,,,,,,,,,,,,,,,97.73,94.18,96.23,96.72,98.06,96.75,96.78,97.00,97.90,98.49,95.95,98.68,95.97,,12,12,10,11,13,12,11,12,11,12,12,12,12,
PC 40:6,C48 H84 N O8 P,833.5925,0.30,0,8.12,0.064,167017,13,1,82.8,5.6,7,12,,833.5922,833.5920,833.5924,833.5926,833.5924,833.5926,833.5928,833.5926,833.5927,833.5928,833.5927,833.5926,833.5923,,8.112,8.125,8.106,8.105,8.166,8.131,8.131,8.102,8.134,8.113,8.108,8.118,8.118,,262534,162019,180030,140492,50209,258610,140371,141021,208070,202451,151216,150480,123719,,,,,,,,,,,,,,,,69.95,71.80,68.60,68.87,82.78,73.17,73.74,76.14,74.06,70.38,69.77,71.60,78.10,,12,10,7,10,11,10,8,9,8,11,8,8,10,
PC 18:0_22:5,C48 H86 N O8 P,835.6090,3.07,0,8.47,0.122,157196,14,0,98.8,21.2,1,17,835.6178,835.6081,835.6078,835.6081,835.6083,835.6079,835.6083,835.6083,835.6085,835.6086,835.6085,835.6088,835.6084,835.6081,8.521,8.413,8.488,8.463,8.473,8.495,8.399,8.482,8.453,8.485,8.481,8.410,8.464,8.475,1781,191207,162136,175748,160037,96136,184420,166590,170699,186068,158369,191432,169742,186383,,,,,,,,,,,,,,,24.45,97.94,92.42,97.26,95.91,91.25,96.36,94.58,98.82,94.21,94.79,98.06,97.64,95.30,1,17,14,14,15,14,15,13,15,15,14,15,16,16,
SM d38:1,C43 H87 N2 O6 P,758.6302,3.65,0,9.45,0.049,411987,13,1,94.6,9.6,9,17,,758.6318,758.6290,758.6331,758.6265,758.6279,758.6276,758.6336,758.6303,758.6320,758.6270,758.6354,758.6295,758.6288,,9.451,9.464,9.444,9.443,9.426,9.475,9.453,9.446,9.472,9.447,9.448,9.429,9.435,,530132,391680,433514,345587,179914,417671,406869,377972,415078,484679,510787,455575,406385,,,,,,,,,,,,,,,,77.13,92.85,72.34,86.70,83.44,94.58,73.24,86.36,85.50,86.25,67.59,83.71,85.92,,10,17,11,9,11,10,9,15,15,9,11,11,12,
