"Name","Formula","Mass (avg)","RSD (Mass, ppm)","Saturated","RT (avg)","RT (span)","Height (avg)","Found","Missed","Score (Tgt, max)","%RSD (Tgt)","Ions (min)","Ions (max)",[Mass] IS_4X_pos_091622_032,[Mass] sample_1_4X_pos_091622_015,[Mass] sample_10_4X_pos_091622_026,[Mass] sample_11_4X_pos_091622_027,[Mass] sample_12_4X_pos_091622_028,[Mass] sample_13_4X_pos_091622_029,[Mass] sample_2_4X_pos_091622_016,[Mass] sample_3_4X_pos_091622_017,[Mass] sample_4_4X_pos_091622_018,[Mass] sample_5_4X_pos_091622_019,[Mass] sample_6_4X_pos_091622_020,[Mass] sample_7_4X_pos_091622_023,[Mass] sample_8_4X_pos_091622_024,[Mass] sample_9_4X_pos_091622_025,[RT] IS_4X_pos_091622_032,[RT] sample_1_4X_pos_091622_015,[RT] sample_10_4X_pos_091622_026,[RT] sample_11_4X_pos_091622_027,[RT] sample_12_4X_pos_091622_028,[RT] sample_13_4X_pos_091622_029,[RT] sample_2_4X_pos_091622_016,[RT] sample_3_4X_pos_091622_017,[RT] sample_4_4X_pos_091622_018,[RT] sample_5_4X_pos_091622_019,[RT] sample_6_4X_pos_091622_020,[RT] sample_7_4X_pos_091622_023,[RT] sample_8_4X_pos_091622_024,[RT] sample_9_4X_pos_091622_025,[Height] IS_4X_pos_091622_032,[Height] sample_1_4X_pos_091622_015,[Height] sample_10_4X_pos_091622_026,[Height] sample_11_4X_pos_091622_027,[Height] sample_12_4X_pos_091622_028,[Height] sample_13_4X_pos_091622_029,[Height] sample_2_4X_pos_091622_016,[Height] sample_3_4X_pos_091622_017,[Height] sample_4_4X_pos_091622_018,[Height] sample_5_4X_pos_091622_019,[Height] sample_6_4X_pos_091622_020,[Height] sample_7_4X_pos_091622_023,[Height] sample_8_4X_pos_091622_024,[Height] sample_9_4X_pos_091622_025,[Score (MFE)] IS_4X_pos_091622_032,[Score (MFE)] sample_1_4X_pos_091622_015,[Score (MFE)] sample_10_4X_pos_091622_026,[Score (MFE)] sample_11_4X_pos_091622_027,[Score (MFE)] sample_12_4X_pos_091622_028,[Score (MFE)] sample_13_4X_pos_091622_029,[Score (MFE)] sample_2_4X_pos_091622_016,[Score (MFE)] sample_3_4X_pos_091622_017,[Score (MFE)] sample_4_4X_pos_091622_018,[Score (MFE)] sample_5_4X_pos_091622_019,[Score (MFE)] sample_6_4X_pos_091622_020,[Score (MFE)] sample_7_4X_pos_091622_023,[Score (MFE)] sample_8_4X_pos_091622_024,[Score (MFE)] sample_9_4X_pos_091622_025,[Score (Tgt)] IS_4X_pos_091622_032,[Score (Tgt)] sample_1_4X_pos_091622_015,[Score (Tgt)] sample_10_4X_pos_091622_026,[Score (Tgt)] sample_11_4X_pos_091622_027,[Score (Tgt)] sample_12_4X_pos_091622_028,[Score (Tgt)] sample_13_4X_pos_091622_029,[Score (Tgt)] sample_2_4X_pos_091622_016,[Score (Tgt)] sample_3_4X_pos_091622_017,[Score (Tgt)] sample_4_4X_pos_091622_018,[Score (Tgt)] sample_5_4X_pos_091622_019,[Score (Tgt)] sample_6_4X_pos_091622_020,[Score (Tgt)] sample_7_4X_pos_091622_023,[Score (Tgt)] sample_8_4X_pos_091622_024,[Score (Tgt)] sample_9_4X_pos_091622_025,[Ions] IS_4X_pos_091622_032,[Ions] sample_1_4X_pos_091622_015,[Ions] sample_10_4X_pos_091622_026,[Ions] sample_11_4X_pos_091622_027,[Ions] sample_12_4X_pos_091622_028,[Ions] sample_13_4X_pos_091622_029,[Ions] sample_2_4X_pos_091622_016,[Ions] sample_3_4X_pos_091622_017,[Ions] sample_4_4X_pos_091622_018,[Ions] sample_5_4X_pos_091622_019,[Ions] sample_6_4X_pos_091622_020,[Ions] sample_7_4X_pos_091622_023,[Ions] sample_8_4X_pos_091622_024,[Ions] sample_9_4X_pos_091622_025,
TG 52:2,C55 H102 O6,858.7673,0.45,0,14.39,0.011,1301385,14,0,99.9,3.7,8,16,858.7662,858.7675,858.7672,858.7676,858.7671,858.7670,858.7673,858.7675,858.7675,858.7675,858.7676,858.7678,858.7673,858.7671,14.384,14.386,14.388,14.393,14.390,14.386,14.390,14.386,14.391,14.391,14.388,14.382,14.381,14.388,16183,1407051,1347819,1509961,1252299,612878,1407169,1629844,1234868,1713648,1609701,1841473,1423406,1213100,,,,,,,,,,,,,,,86.32,99.91,99.81,99.86,99.75,99.64,99.83,99.92,99.90,99.86,99.88,99.81,99.80,99.75,8,15,16,16,12,13,13,14,16,14,15,14,15,16,
SM d38:1,C43 H87 N2 O6 P,758.6290,3.36,0,9.44,0.080,415744,13,1,99.1,10.7,4,17,,758.6267,758.6290,758.6331,758.6267,758.6279,758.6265,758.6336,758.6273,758.6330,758.6275,758.6281,758.6295,758.6288,,9.400,9.464,9.444,9.410,9.426,9.436,9.453,9.419,9.472,9.435,9.392,9.429,9.435,,533961,391571,422415,374957,179730,415882,407201,383870,384339,525787,521691,456902,406367,,,,,,,,,,,,,,,,97.14,94.98,82.07,98.14,98.71,97.62,79.78,99.10,80.14,96.23,70.60,98.27,98.60,,9,17,11,9,11,9,9,9,16,9,4,11,12,
LPC 16:0/0:0,C24 H50 N O7 P,495.3320,0.53,0,2.45,0.027,109098,14,0,99.8,9.9,3,11,495.3311,495.3321,495.3321,495.3321,495.3320,495.3320,495.3321,495.3323,495.3322,495.3321,495.3321,495.3321,495.3321,495.3320,2.446,2.459,2.450,2.454,2.457,2.437,2.450,2.464,2.452,2.437,2.440,2.449,2.456,2.454,1042,151904,128483,92620,107723,44420,176015,88600,94895,115685,161834,119533,134764,109861,,,,,,,,,,,,,,,63.38,99.69,99.52,99.55,99.30,96.72,99.75,99.27,99.50,98.79,99.32,99.42,99.78,99.42,3,10,10,9,8,8,10,8,9,9,11,9,8,10,
PG 18:1_18:1,C42 H79 O10 P,774.5421,1.39,0,7.94,0.106,482345,13,1,97.4,4.6,9,16,,774.5423,774.5419,774.5427,774.5430,774.5398,774.5433,774.5415,774.5429,774.5423,774.5433,774.5403,774.5422,774.5416,,7.962,7.896,7.927,7.954,7.993,7.930,7.930,7.940,7.961,7.951,8.002,7.928,7.934,,492308,802018,430787,524039,502709,475367,459084,464705,477995,500923,300074,480225,360259,,,,,,,,,,,,,,,,96.68,86.17,93.66,95.21,89.41,95.54,93.03,93.61,96.68,97.22,83.90,97.42,93.51,,12,11,14,9,16,11,12,14,13,14,10,14,13,
PE 18:0_20:3,C43 H80 N O8 P,769.5658,6.12,0,9.10,0.037,34579,2,12,99.4,36.8,6,19,769.5691,,,769.5625,,,,,,,,,,,9.084,,,9.121,,,,,,,,,,,5473,,,63685,,,,,,,,,,,,,,,,,,,,,,,,,58.32,,,99.37,,,,,,,,,,,6,,,19,,,,,,,,,,,
PS 16:0_20:4,C42 H74 N O10 P,783.5044,0.24,0,6.99,0.087,168202,13,1,98.9,11.5,10,14,,783.5042,783.5042,783.5043,783.5043,783.5042,783.5044,783.5044,783.5047,783.5045,783.5045,783.5047,783.5045,783.5042,,6.908,6.975,6.989,6.983,6.995,6.986,6.987,6.986,6.978,6.979,6.986,6.980,6.985,,84079,191834,172355,177247,75251,232795,98664,185716,186569,232178,189759,200965,159216,,,,,,,,,,,,,,,,82.06,75.29,77.05,84.70,98.86,97.67,76.76,77.08,88.41,76.22,97.89,97.79,76.20,,10,12,11,13,11,13,11,12,13,11,13,14,11,
TG 16:0_18:0_18:0,C55 H106 O6,862.7978,0.20,0,14.67,0.016,145727,14,0,99.1,4.1,10,13,862.7977,862.7976,862.7980,862.7979,862.7978,862.7977,862.7977,862.7976,862.7980,862.7979,862.7979,862.7980,862.7979,862.7975,14.667,14.667,14.656,14.657,14.664,14.660,14.665,14.666,14.660,14.665,14.664,14.667,14.667,14.673,13846,148164,132320,188823,124764,79892,134311,197558,137117,193133,162752,224488,137301,165712,,,,,,,,,,,,,,,83.62,98.88,99.00,98.78,99.04,97.81,98.37,98.62,99.12,98.68,98.62,99.03,99.15,97.86,12,13,11,13,11,11,10,13,11,12,11,13,12,10,
PC 16:0_20:3,C44 H82 N O8 P,783.5822,0.93,0,8.20,0.031,903043,14,0,88.4,10.5,4,18,783.5839,783.5806,783.5816,783.5823,783.5821,783.5829,783.5817,783.5827,783.5823,783.5822,783.5821,783.5823,783.5824,783.5824,8.203,8.207,8.203,8.212,8.194,8.211,8.203,8.181,8.202,8.200,8.202,8.209,8.207,8.202,781881,689910,949488,778570,926663,894224,1020610,969249,922007,983029,1086977,1114074,666359,859561,,,,,,,,,,,,,,,54.88,75.66,84.98,79.01,73.85,75.95,75.84,72.78,76.93,83.84,69.02,79.29,80.72,88.35,4,15,15,17,17,14,15,15,17,17,15,18,17,15,
PC 40:1,C48 H94 N O8 P,843.6705,0.72,0,11.07,0.114,122759,14,0,99.3,14.0,4,18,843.6685,843.6707,843.6703,843.6704,843.6704,843.6705,843.6707,843.6707,843.6707,843.6710,843.6707,843.6711,843.6706,843.6703,10.976,11.068,11.066,11.088,11.090,11.022,11.070,11.071,11.070,11.079,11.069,11.066,11.074,11.070,1938,171322,134710,112998,105521,47459,186437,120788,105531,155152,196749,148522,122862,108642,,,,,,,,,,,,,,,48.93,98.50,98.14,97.21,97.03,93.38,98.77,98.87,98.47,98.66,99.02,99.33,98.36,98.16,4,16,14,15,16,8,18,14,14,15,15,16,11,14,
PC 16:0_17:0,C41 H82 N O8 P,747.5756,0.49,0,8.73,0.027,254596,13,1,96.5,2.7,15,20,,747.5755,747.5752,747.5752,747.5750,747.5757,747.5754,747.5755,747.5761,747.5759,747.5762,747.5759,747.5759,747.5758,,8.737,8.722,8.725,8.729,8.712,8.739,8.728,8.721,8.714,8.738,8.733,8.732,8.715,,330799,279465,211496,230257,101160,320578,262700,279074,256018,324222,217021,273361,223600,,,,,,,,,,,,,,,,94.87,92.80,91.25,93.51,87.40,96.53,92.01,92.52,92.76,96.17,95.37,93.67,90.68,,18,16,18,15,15,17,16,17,18,20,17,16,16,
TG 16:1_18:1_18:1,C55 H100 O6,856.7510,0.31,0,14.09,0.104,129265,14,0,99.0,6.3,9,16,856.7503,856.7511,856.7511,856.7511,856.7508,856.7505,856.7511,856.7511,856.7511,856.7511,856.7510,856.7513,856.7511,856.7509,14.172,14.095,14.086,14.095,14.087,14.078,14.087,14.073,14.105,14.083,14.091,14.069,14.068,14.097,10288,141161,139424,141283,123517,46964,144298,155993,111799,173040,167389,200011,144297,110255,,,,,,,,,,,,,,,75.67,98.99,98.85,98.77,98.27,97.42,98.98,98.69,97.82,99.05,98.90,98.30,98.37,98.27,9,15,14,13,13,12,15,13,13,15,11,11,16,13,
PC 29:0,C37 H74 N O8 P,691.5158,2.65,0,7.03,0.064,294694,14,0,99.9,13.7,3,16,691.5094,691.5162,691.5163,691.5162,691.5162,691.5163,691.5163,691.5162,691.5164,691.5163,691.5164,691.5165,691.5164,691.5159,7.073,7.025,7.008,7.028,7.050,7.045,7.014,7.032,7.025,7.028,7.030,7.020,7.030,7.024,4206,331092,352788,272278,300095,103039,452139,271917,328211,315562,463469,341093,339905,249924,,,,,,,,,,,,,,,50.00,99.26,98.65,99.00,96.30,95.63,99.50,98.49,99.16,99.10,99.16,99.88,99.14,98.55,3,16,12,14,14,14,15,14,14,14,16,16,11,14,
PC 14:0_17:0,C39 H78 N O8 P,719.5477,0.35,0,7.98,0.031,314299,13,1,95.0,2.6,12,18,,719.5477,719.5473,719.5476,719.5476,719.5473,719.5479,719.5480,719.5476,719.5476,719.5480,719.5478,719.5478,719.5472,,7.984,7.980,8.000,7.987,7.993,7.980,7.975,7.968,7.988,7.985,7.974,7.990,7.973,,328389,253282,271474,275838,136141,423796,312910,386164,312527,422974,404233,320728,237432,,,,,,,,,,,,,,,,92.81,95.02,88.78,90.82,87.05,94.64,91.20,91.56,94.79,93.68,91.87,91.05,94.22,,16,12,14,14,15,16,15,18,13,15,16,16,15,
TG 14:0_16:0_18:1,C51 H96 O6,804.7200,0.80,0,14.13,0.032,129572,14,0,99.4,4.0,7,12,804.7222,804.7199,804.7199,804.7199,804.7196,804.7196,804.7200,804.7200,804.7198,804.7199,804.7200,804.7200,804.7199,804.7198,14.145,14.117,14.114,14.123,14.132,14.134,14.126,14.123,14.133,14.133,14.130,14.125,14.113,14.130,3532,134130,149344,135013,130540,55248,163058,141494,130056,158834,179170,165017,155790,112788,,,,,,,,,,,,,,,84.07,99.01,99.42,99.12,97.92,97.24,98.91,99.17,97.97,98.33,98.49,98.91,99.34,98.19,10,7,10,9,7,12,9,9,8,10,9,10,8,7,
PC 29:2,C37 H70 N O8 P,687.4844,0.30,0,7.00,0.031,119409,13,1,99.2,0.6,13,17,,687.4843,687.4844,687.4842,687.4843,687.4841,687.4847,687.4844,687.4846,687.4844,687.4845,687.4847,687.4845,687.4841,,7.008,6.997,7.000,6.989,7.017,6.998,7.004,7.003,6.995,6.990,6.986,7.013,6.991,,115949,145184,115461,133681,41317,140064,102569,133162,132466,151046,115478,132589,93354,,,,,,,,,,,,,,,,99.14,98.50,98.16,97.41,99.15,98.72,98.43,99.08,98.63,97.85,97.67,98.89,97.44,,17,15,15,16,13,17,14,16,16,16,14,14,15,
PC 42:2,C50 H96 N O8 P,869.6864,0.28,0,10.97,0.046,124421,13,1,99.5,1.4,12,16,,869.6864,869.6860,869.6863,869.6862,869.6862,869.6864,869.6865,869.6866,869.6868,869.6865,869.6869,869.6866,869.6863,,10.957,10.965,10.982,10.967,10.955,10.958,10.971,10.948,10.984,10.980,10.993,10.980,10.970,,159139,136560,107894,100535,56020,182371,109108,101431,140995,177901,128478,109993,107049,,,,,,,,,,,,,,,,96.55,97.23,98.34,97.46,95.58,96.96,98.41,95.24,99.44,99.08,99.46,98.85,97.67,,15,15,14,15,14,16,12,15,16,15,14,14,14,
TG 50:1,C53 H100 O6,832.7516,0.33,0,14.41,0.020,986692,14,0,99.9,4.1,10,15,832.7511,832.7518,832.7515,832.7518,832.7513,832.7512,832.7516,832.7518,832.7518,832.7517,832.7518,832.7521,832.7515,832.7514,14.389,14.409,14.405,14.409,14.407,14.408,14.407,14.403,14.402,14.408,14.405,14.404,14.409,14.404,7155,1031889,1113606,1086504,999345,432600,1183851,1112331,968351,1242346,1275590,1269138,1125205,965787,,,,,,,,,,,,,,,84.52,99.85,99.81,99.84,99.68,99.46,99.83,99.92,99.82,99.87,99.92,99.89,99.78,99.76,12,12,15,12,13,14,13,10,12,14,12,12,15,11,
PE 18:1_20:3,C43 H78 N O8 P,767.5472,3.05,0,8.20,0.020,13263741,14,0,97.5,9.2,4,16,767.5393,767.5481,767.5478,767.5475,767.5482,767.5469,767.5483,767.5488,767.5482,767.5476,767.5481,767.5477,767.5474,767.5473,8.203,8.196,8.192,8.212,8.199,8.199,8.209,8.203,8.191,8.206,8.197,8.192,8.202,8.202,12233843,8075564,12753004,14012625,12626864,13497513,13490722,13709121,14182622,13402433,14790410,15161821,12856112,14899728,,,,,,,,,,,,,,,63.60,95.80,95.02,93.61,97.00,94.22,94.15,97.54,96.93,93.53,96.25,96.61,95.20,93.92,4,10,11,12,16,16,14,14,13,12,12,13,14,10,
SM d32:1,C37 H75 N2 O6 P,674.5347,0.38,0,6.52,0.043,162102,13,1,99.7,0.8,9,12,,674.5345,674.5345,674.5346,674.5344,674.5345,674.5347,674.5348,674.5348,674.5348,674.5351,674.5350,674.5349,674.5343,,6.523,6.517,6.536,6.526,6.493,6.512,6.524,6.523,6.515,6.527,6.506,6.522,6.511,,177435,181332,143245,139366,54387,249772,130252,149831,170974,236723,180228,170629,123154,,,,,,,,,,,,,,,,98.45,98.82,96.80,97.60,97.82,99.39,98.37,98.46,99.35,98.52,99.71,98.71,98.35,,11,12,11,12,9,12,12,11,12,12,12,11,10,
SM d35:1,C40 H81 N2 O6 P,716.5811,0.31,0,7.98,0.078,167926,12,2,98.7,2.6,10,13,,716.5810,716.5808,716.5813,716.5811,716.5813,716.5811,716.5812,,716.5812,716.5813,716.5813,716.5812,716.5806,,7.984,7.991,8.005,8.026,7.949,7.991,7.969,,7.983,7.985,7.974,8.023,7.968,,194606,193309,155831,161154,19232,241638,148655,,174695,206246,189900,185666,144186,,,,,,,,,,,,,,,,96.55,96.66,98.70,98.43,90.20,97.73,94.44,,96.73,96.75,95.54,98.56,93.02,,12,11,13,12,10,12,12,,11,11,13,11,13,
TG 18:0_18:1_20:0,C59 H112 O6,916.8451,0.25,0,14.74,0.010,124576,13,1,98.6,1.8,10,14,,916.8453,916.8452,916.8452,916.8450,916.8448,916.8451,916.8450,916.8454,916.8452,916.8453,916.8450,916.8456,916.8447,,14.740,14.735,14.736,14.737,14.739,14.738,14.739,14.738,14.744,14.737,14.740,14.734,14.734,,114080,137505,145086,123527,44835,115022,150120,120525,155451,140601,162442,97058,113238,,,,,,,,,,,,,,,,96.90,93.68,96.53,95.39,95.55,95.14,97.33,92.35,95.51,98.38,95.63,98.55,96.82,,11,13,14,12,12,12,11,11,11,14,11,10,10,
PC 37:5,C45 H80 N O8 P,793.5646,1.95,0,7.97,0.173,262669,14,0,85.9,15.5,1,20,793.5595,793.5656,793.5650,793.5646,793.5649,793.5648,793.5651,793.5650,793.5644,793.5649,793.5655,793.5656,793.5657,793.5642,8.114,7.984,7.941,7.949,7.982,8.010,7.947,7.963,7.962,8.005,7.962,7.969,7.978,7.984,28363,305091,288739,245690,270170,117105,375291,266494,289002,264014,354166,317916,304668,250658,,,,,,,,,,,,,,,39.79,61.11,65.30,71.09,77.73,85.94,74.29,74.46,62.05,71.38,69.80,71.97,71.20,78.87,1,14,14,15,17,20,14,15,17,17,18,19,17,15,
PC 14:0_14:0,C36 H72 N O8 P,677.4989,0.44,0,6.52,0.023,108770,13,1,99.6,0.9,7,12,,677.4989,677.4986,677.4987,677.4984,677.4986,677.4989,677.4990,677.4990,677.4991,677.4992,677.4994,677.4991,677.4985,,6.535,6.522,6.536,6.521,6.532,6.528,6.513,6.518,6.515,6.532,6.523,6.522,6.527,,127829,112778,87005,91668,41118,173114,90520,104567,116568,166658,123447,99411,79331,,,,,,,,,,,,,,,,99.04,99.06,98.54,98.35,96.28,99.28,99.05,99.38,99.42,99.40,99.49,99.64,98.32,,11,10,8,9,7,10,11,11,10,12,10,10,11,
SM d41:1,C46 H93 N2 O6 P,800.6767,0.25,0,10.72,0.073,116045,14,0,99.1,17.6,2,15,800.6769,800.6766,800.6765,800.6767,800.6767,800.6766,800.6767,800.6770,800.6768,800.6768,800.6770,800.6770,800.6769,800.6763,10.747,10.717,10.692,10.765,10.738,10.704,10.713,10.714,10.708,10.716,10.746,10.709,10.712,10.719,3391,134865,139168,117903,117667,54384,165773,112294,108120,130609,164460,125025,131355,119628,,,,,,,,,,,,,,,36.58,98.39,98.04,98.44,98.50,98.19,98.42,98.79,98.60,98.61,99.08,99.02,98.76,97.69,2,13,14,11,14,13,15,13,13,14,12,13,15,12,
PC 42:1,C50 H98 N O8 P,871.7023,0.27,0,11.76,0.067,119482,13,1,99.5,1.6,13,17,,871.7023,871.7019,871.7023,871.7020,871.7020,871.7023,871.7022,871.7024,871.7027,871.7025,871.7027,871.7023,871.7021,,11.755,11.774,11.757,11.755,11.786,11.778,11.730,11.735,11.759,11.755,11.719,11.738,11.757,,155405,124830,101509,109983,52081,161732,113367,104369,131660,165350,133064,114116,85812,,,,,,,,,,,,,,,,98.98,98.31,98.97,98.71,96.79,99.39,96.06,96.77,99.54,99.33,94.29,97.36,98.75,,16,14,15,15,13,14,14,14,17,15,13,16,15,
LPC 0:0/18:1,C26 H52 N O7 P,521.3477,0.21,0,2.43,0.028,105640,13,1,99.6,0.3,6,10,,521.3477,521.3476,521.3477,521.3477,521.3475,521.3476,521.3477,521.3479,521.3477,521.3476,521.3478,521.3477,521.3475,,2.415,2.433,2.421,2.424,2.426,2.417,2.420,2.435,2.443,2.424,2.426,2.428,2.431,,62405,123702,93021,116143,41241,142504,94948,97857,114560,150057,112518,126947,97423,,,,,,,,,,,,,,,,98.49,99.57,99.44,99.08,98.94,99.03,99.41,99.30,99.24,99.43,99.29,99.53,98.60,,7,8,9,8,6,9,9,8,9,10,8,9,8,
TG 60:2,C63 H118 O6,970.8919,0.63,0,14.80,0.016,114036,13,1,95.9,5.8,7,13,,970.8919,970.8921,970.8920,970.8920,970.8914,970.8922,970.8918,970.8921,970.8925,970.8927,970.8920,970.8901,970.8918,,14.797,14.802,14.798,14.793,14.806,14.806,14.806,14.800,14.800,14.793,14.790,14.801,14.796,,93365,114051,110233,91042,54034,113357,116624,112072,127509,151325,151913,135275,111672,,,,,,,,,,,,,,,,93.29,94.97,95.91,89.19,87.98,88.12,94.31,95.56,92.40,91.44,94.58,76.00,91.85,,10,12,9,13,7,13,11,9,10,11,12,9,12,
PS 18:0_20:3,C44 H80 N O10 P,813.5507,0.56,0,8.33,0.040,117578,14,0,95.5,10.1,3,14,813.5497,813.5506,813.5504,813.5504,813.5509,813.5502,813.5509,813.5511,813.5508,813.5512,813.5511,813.5512,813.5512,813.5504,8.359,8.319,8.326,8.340,8.322,8.356,8.326,8.337,8.325,8.329,8.325,8.326,8.330,8.330,4464,144759,134493,116645,110587,59660,170922,109718,119404,132167,151541,150031,132929,108784,,,,,,,,,,,,,,,60.38,95.47,93.59,90.95,95.32,86.09,95.14,93.27,94.89,94.86,95.36,95.36,94.74,92.94,3,13,13,12,14,9,12,13,12,13,12,13,12,13,
PC 17:1_20:4,C45 H80 N O8 P,793.5593,0.67,0,7.10,0.059,139087,13,1,99.4,1.9,17,20,,793.5589,793.5590,793.5593,793.5591,793.5603,793.5599,793.5587,793.5597,793.5586,793.5592,793.5597,793.5598,793.5587,,7.092,7.075,7.134,7.095,7.134,7.098,7.121,7.075,7.101,7.097,7.103,7.108,7.102,,141870,138837,127770,120108,43977,204848,122218,136205,164372,188995,151651,145932,121353,,,,,,,,,,,,,,,,98.74,98.72,94.93,99.43,93.56,99.28,96.85,97.21,98.77,98.96,98.86,99.01,97.11,,20,20,19,17,19,18,20,19,19,19,19,20,18,
PS 16:1_18:1,C40 H74 N O10 P,759.5048,3.81,0,7.04,0.108,309610,14,0,97.9,20.7,1,12,759.5149,759.5040,759.5038,759.5039,759.5040,759.5041,759.5041,759.5039,759.5042,759.5041,759.5041,759.5043,759.5042,759.5038,7.128,7.047,7.042,7.028,7.034,7.056,7.020,7.021,7.042,7.045,7.024,7.031,7.030,7.058,1152,372980,383578,307626,333823,135314,456891,287770,349728,356286,406676,327297,341126,274298,,,,,,,,,,,,,,,25.72,97.89,96.00,95.37,90.77,97.14,93.86,93.73,97.80,97.04,94.21,96.23,96.31,97.73,1,12,9,11,11,7,9,10,11,9,11,10,12,10,
PC 18:1_18:4,C44 H78 N O8 P,779.5457,0.40,0,6.64,0.069,73717,13,1,99.3,1.6,10,13,,779.5458,779.5452,779.5456,779.5454,779.5455,779.5458,779.5457,779.5457,779.5460,779.5461,779.5460,779.5459,779.5451,,6.646,6.640,6.620,6.638,6.588,6.657,6.619,6.607,6.643,6.655,6.646,6.656,6.594,,91274,75166,78500,55558,20844,98635,76384,76849,65600,98815,86398,68397,65904,,,,,,,,,,,,,,,,98.79,98.50,98.62,98.51,93.92,97.69,99.09,97.87,98.85,98.26,99.25,98.15,95.03,,12,13,11,10,12,12,11,13,13,13,13,10,12,
PC 37:1,C45 H88 N O8 P,801.6240,0.25,0,9.72,0.046,162953,8,6,97.1,3.1,14,18,,801.6240,,801.6237,,801.6239,801.6237,801.6242,,801.6240,801.6242,801.6243,,,,9.713,,9.717,,9.750,9.721,9.704,,9.707,9.720,9.721,,,,186045,,135111,,55620,215818,152648,,164521,214565,179301,,,,,,,,,,,,,,,,,,90.26,,92.53,,97.12,96.07,90.11,,89.89,94.41,94.88,,,,16,,15,,14,15,15,,18,17,16,,,
PC 36:0,C44 H88 N O8 P,789.6220,0.32,0,10.31,0.026,153539,3,11,96.3,1.9,13,16,,,,,,789.6218,789.6223,,,,,,,789.6219,,,,,,10.285,10.311,,,,,,,10.306,,,,,,65338,231654,,,,,,,163626,,,,,,,,,,,,,,,,,,,,96.31,92.99,,,,,,,93.53,,,,,,13,16,,,,,,,15,
TG 58:3,C61 H112 O6,940.8446,0.21,0,14.63,0.012,103994,13,1,97.9,12.4,8,15,,940.8446,940.8446,940.8447,940.8443,940.8444,940.8444,940.8444,940.8447,940.8448,940.8449,940.8447,940.8446,940.8444,,14.628,14.628,14.629,14.625,14.638,14.626,14.633,14.626,14.632,14.630,14.628,14.633,14.634,,93440,104786,111506,89250,47598,94223,123914,88150,137055,126126,138357,110541,86977,,,,,,,,,,,,,,,,92.35,91.81,72.22,75.86,81.72,72.08,71.94,92.85,97.89,72.69,93.38,95.49,93.64,,14,13,8,11,9,11,10,13,15,9,12,11,10,
TG 16:0_18:1_19:1,C56 H104 O6,872.7826,0.31,0,14.46,0.029,96937,13,1,99.1,4.4,9,14,,872.7828,872.7826,872.7825,872.7826,872.7818,872.7828,872.7828,872.7826,872.7826,872.7828,872.7827,872.7827,872.7826,,14.471,14.461,14.466,14.463,14.442,14.457,14.459,14.452,14.464,14.450,14.449,14.449,14.466,,95484,90269,102082,82307,44702,95080,111017,90419,121419,114779,121321,100950,90359,,,,,,,,,,,,,,,,96.73,98.65,96.46,84.87,94.26,95.02,92.89,94.45,99.14,89.20,94.76,89.39,90.98,,14,13,11,10,11,11,13,12,10,13,12,11,9,
TG 52:1,C55 H104 O6,860.7826,0.83,0,14.55,0.028,725658,14,0,99.8,8.6,7,17,860.7803,860.7827,860.7828,860.7829,860.7821,860.7825,860.7828,860.7826,860.7830,860.7828,860.7832,860.7830,860.7829,860.7828,14.578,14.555,14.561,14.556,14.552,14.554,14.553,14.554,14.553,14.553,14.557,14.550,14.555,14.555,6582,784628,778816,861327,672377,290245,724579,923686,634085,1013267,907362,1061612,778229,722427,,,,,,,,,,,,,,,68.16,99.65,99.71,99.79,99.07,99.00,99.59,99.64,99.61,99.78,99.82,99.78,99.71,99.58,7,17,15,13,15,12,12,15,12,17,14,12,14,13,
DG 16:0_18:1,C37 H70 O5,594.5217,0.28,0,10.03,0.086,196170,13,1,99.5,1.5,13,17,,594.5218,594.5214,594.5217,594.5216,594.5215,594.5215,594.5218,594.5217,594.5217,594.5218,594.5220,594.5218,594.5214,,10.053,10.034,10.029,10.041,9.967,10.038,10.022,10.027,10.013,10.032,10.017,10.031,10.010,,224114,204816,166865,170002,77616,289755,176137,146514,242452,279286,223461,194429,154775,,,,,,,,,,,,,,,,94.56,97.16,98.05,96.50,95.55,96.72,98.86,98.32,99.23,97.89,99.47,98.15,98.81,,16,16,15,15,13,17,16,16,15,15,15,16,16,
LPC 26:0/0:0,C34 H70 N O7 P,635.4883,0.42,0,7.13,0.018,87361,13,1,99.2,0.6,11,14,,635.4885,635.4882,635.4884,635.4877,635.4882,635.4884,635.4886,635.4887,635.4886,635.4885,635.4882,635.4884,635.4880,,7.137,7.131,7.128,7.134,7.129,7.132,7.127,7.131,7.129,7.136,7.131,7.125,7.119,,95020,98651,82595,77448,43228,116382,81647,74281,91246,111342,92726,90507,80627,,,,,,,,,,,,,,,,98.96,98.77,98.30,98.50,97.93,98.87,98.17,98.98,98.79,99.16,98.75,97.95,97.01,,13,13,13,11,11,14,11,11,11,11,14,12,12,
