log2(FC),log10(p),sig_FDR,diffexpressed,delabel,label,FC,p_val
-1.4941090702700428,2.435,TRUE,DOWN,NA,sig,0.355,272.2701
0.41066673265765213,0.7492,FALSE,NO,NA,not,1.3293,5.6131
0.0017301961388826133,0.0016,FALSE,NO,NA,not,1.0012,1.0037
8.653574432532448e-4,8e-4,FALSE,NO,NA,not,1.0006,1.0018
-0.54877569787331,1.027,FALSE,NO,NA,not,0.6836,10.6414
1.4412709904385992,2.8919,TRUE,UP,NA,sig,2.7156,779.6506
0.9644356002123312,2.1504,TRUE,UP,NA,sig,1.9513,141.3839
0.7732368120423605,2.2495,TRUE,UP,TG 18:0_18:1_22:6,sig,1.7091,177.6233
1.247866767110353,1.3975,FALSE,NO,NA,not,2.3749,24.9747
-0.2880646430210785,0.4377,FALSE,NO,NA,not,0.819,2.7397
-1.248450585208394,2.5162,TRUE,DOWN,NA,sig,0.4209,328.2464
-0.9621258343388799,2.7744,TRUE,DOWN,TG 18:2_18:2_22:6,sig,0.5133,594.8398
-2.6126374591640045,3.1238,TRUE,DOWN,NA,sig,0.1635,1329.8419
-1.2320910047677418,2.2727,TRUE,DOWN,NA,sig,0.4257,187.37
-1.5075827599241425,2.6716,TRUE,DOWN,NA,sig,0.3517,469.4615
-1.713591944539701,3.8708,TRUE,DOWN,NA,sig,0.3049,7426.7704
-2.3681041409461954,3.4715,TRUE,DOWN,NA,sig,0.1937,2961.42
-1.8762013915373783,3.2053,TRUE,DOWN,NA,sig,0.2724,1604.3533
-1.6501818280241396,3.272,TRUE,DOWN,NA,sig,0.3186,1870.6821
-1.6579004351672157,3.2606,TRUE,DOWN,NA,sig,0.3169,1822.2166
-0.872234671851455,2.4377,TRUE,DOWN,NA,sig,0.5463,273.9681
-1.6989977439671857,2.8502,TRUE,DOWN,NA,sig,0.308,708.2719
-2.154570167148848,2.3366,TRUE,DOWN,NA,sig,0.2246,217.0701
-2.1975999598851605,3.6122,TRUE,DOWN,NA,sig,0.218,4094.4917
-0.6377826225128307,1.063,FALSE,NO,NA,not,0.6427,11.5611
-1.7563309190331373,2.9305,TRUE,DOWN,NA,sig,0.296,852.1185
-0.43869830585463065,0.6548,FALSE,NO,NA,not,0.7378,4.5165
-0.9523220248555244,2.0384,TRUE,DOWN,NA,sig,0.5168,109.2446
-1.3371564825019373,2.8325,TRUE,DOWN,NA,sig,0.3958,679.986
0.023326331860027503,0.0284,FALSE,NO,NA,not,1.0163,1.0676
-0.9102306913664916,3.1794,TRUE,DOWN,NA,sig,0.5321,1511.4716
-1.977099597889921,2.6695,TRUE,DOWN,NA,sig,0.254,467.197
-2.8119789485830515,2.6259,TRUE,DOWN,NA,sig,0.1424,422.5713
-2.159073566696852,2.7405,TRUE,DOWN,NA,sig,0.2239,550.1739
-1.6474674433271037,2.5976,TRUE,DOWN,NA,sig,0.3192,395.9132
0.889629290673427,1.2434,FALSE,NO,NA,not,1.8527,17.5146
0.4044671967630895,0.7337,FALSE,NO,NA,not,1.3236,5.4163
0.01249716268290215,0.0112,FALSE,NO,NA,not,1.0087,1.0261
1.5943574514586927,2.1894,TRUE,UP,NA,sig,3.0196,154.6678
0.4600610209773414,1.7393,TRUE,UP,NA,sig,1.3756,54.8656
0.03139519627553432,0.0529,FALSE,NO,NA,not,1.022,1.1295
-1.2112307783424274,3.5275,TRUE,DOWN,NA,sig,0.4319,3368.9922
-1.2515387669959646,2.4916,TRUE,DOWN,NA,sig,0.42,310.1701
-2.1831136259850803,2.6442,TRUE,DOWN,NA,sig,0.2202,440.7578
-2.3075728019102923,2.7672,TRUE,DOWN,NA,sig,0.202,585.0595
-1.512513650651464,4.1947,TRUE,DOWN,NA,sig,0.3505,15656.6917
-3.0954195650786827,2.651,TRUE,DOWN,NA,sig,0.117,447.7133
-1.3617871145765938,3.3287,TRUE,DOWN,NA,sig,0.3891,2131.572
1.1847880844869727,1.454,FALSE,NO,NA,not,2.2733,28.4446
-3.0185857004000316,2.9808,TRUE,DOWN,NA,sig,0.1234,956.7534
