Name,Condition,variable,value,FA
12,Cold,18:1_0:0,0.515116602778368,18:1
1,RT,18:2_0:0,1.61343165462378,18:2
2,RT,18:2_0:0,0.983712367293022,18:2
3,RT,18:2_0:0,2.21999481562162,18:2
4,RT,18:2_0:0,2.68138775672082,18:2
5,RT,18:2_0:0,1.84929571932892,18:2
6,RT,18:2_0:0,1.45921463283486,18:2
7,Cold,18:2_0:0,2.70296175220178,18:2
8,Cold,18:2_0:0,2.51722485218506,18:2
9,Cold,18:2_0:0,2.35098927603757,18:2
10,Cold,18:2_0:0,2.37671608961159,18:2
11,Cold,18:2_0:0,2.13820700358051,18:2
12,Cold,18:2_0:0,2.11787595675123,18:2
1,RT,18:2_0:0_2,0.460184458167783,18:2
2,RT,18:2_0:0_2,0.607673044026117,18:2
3,RT,18:2_0:0_2,0.694673523334408,18:2
4,RT,18:2_0:0_2,0.827441962400489,18:2
5,RT,18:2_0:0_2,0.737063101176903,18:2
6,RT,18:2_0:0_2,0.646833478079357,18:2
7,Cold,18:2_0:0_2,1.1586842407727,18:2
8,Cold,18:2_0:0_2,0.914895026478926,18:2
9,Cold,18:2_0:0_2,0.972468872074785,18:2
10,Cold,18:2_0:0_2,0.788083536854907,18:2
11,Cold,18:2_0:0_2,0.950389226592067,18:2
12,Cold,18:2_0:0_2,0.876977663874041,18:2
1,RT,18:3_0:0,0.0668071626368521,18:3
2,RT,18:3_0:0,0.0710806850354226,18:3
3,RT,18:3_0:0,0.139736077231567,18:3
4,RT,18:3_0:0,0.108365655609371,18:3
5,RT,18:3_0:0,0.112023916195247,18:3
6,RT,18:3_0:0,0.0868144653180204,18:3
7,Cold,18:3_0:0,0.149255639917299,18:3
8,Cold,18:3_0:0,0.149154364197895,18:3
9,Cold,18:3_0:0,0.113447773210654,18:3
10,Cold,18:3_0:0,0.154473363423835,18:3
11,Cold,18:3_0:0,0.117134312035721,18:3
12,Cold,18:3_0:0,0.105085726264687,18:3
1,RT,19:0_0:0,0.0817441421436758,19:0
2,RT,19:0_0:0,0.073050812747159,19:0
3,RT,19:0_0:0,0.118757790419198,19:0
4,RT,19:0_0:0,0.127486405890466,19:0
5,RT,19:0_0:0,0.156819211411545,19:0
6,RT,19:0_0:0,0.114709607948989,19:0
7,Cold,19:0_0:0,0.140324662340706,19:0
8,Cold,19:0_0:0,0.122064864627961,19:0
9,Cold,19:0_0:0,0.15770129307881,19:0
10,Cold,19:0_0:0,0.121487788099804,19:0
11,Cold,19:0_0:0,0.117277777840927,19:0
12,Cold,19:0_0:0,0.102555888352288,19:0
1,RT,20:0_0:0,0.15374131985431,20:0
2,RT,20:0_0:0,0.0881912917994795,20:0
3,RT,20:0_0:0,0.209282763440459,20:0
4,RT,20:0_0:0,0.204584531181924,20:0
5,RT,20:0_0:0,0.217666016856678,20:0
6,RT,20:0_0:0,0.177595056724912,20:0
7,Cold,20:0_0:0,0.332053032136915,20:0
8,Cold,20:0_0:0,0.175538389492564,20:0
9,Cold,20:0_0:0,0.314167327987291,20:0
10,Cold,20:0_0:0,0.245746479234326,20:0
11,Cold,20:0_0:0,0.334549382605759,20:0
12,Cold,20:0_0:0,0.188145128355116,20:0
1,RT,20:3_0:0,0.111811017632458,20:3
2,RT,20:3_0:0,0.0338861966418669,20:3
3,RT,20:3_0:0,0.136749508300021,20:3
4,RT,20:3_0:0,0.151499315562873,20:3
5,RT,20:3_0:0,0.0896271834115732,20:3
6,RT,20:3_0:0,0.0788571004803663,20:3
7,Cold,20:3_0:0,0.0994131673246977,20:3
8,Cold,20:3_0:0,0.127559012771698,20:3
9,Cold,20:3_0:0,0.0927195868300026,20:3
10,Cold,20:3_0:0,0.106531005548237,20:3
11,Cold,20:3_0:0,0.0857704798512926,20:3
12,Cold,20:3_0:0,0.0609976404979445,20:3
1,RT,20:3_0:0_2,0.107111722136205,20:3
2,RT,20:3_0:0_2,0.0335606972807974,20:3
3,RT,20:3_0:0_2,0.136691263176272,20:3
4,RT,20:3_0:0_2,0.152550793435976,20:3
5,RT,20:3_0:0_2,0.086017286035363,20:3
6,RT,20:3_0:0_2,0.0778157621826553,20:3
7,Cold,20:3_0:0_2,0.0845705253371219,20:3
8,Cold,20:3_0:0_2,0.117799951963853,20:3
9,Cold,20:3_0:0_2,0.0982030245412436,20:3
10,Cold,20:3_0:0_2,0.0992972638612238,20:3
11,Cold,20:3_0:0_2,0.0763219690647921,20:3
12,Cold,20:3_0:0_2,0.0618520760263346,20:3
1,RT,20:4_0:0,0.672463753884948,20:4
2,RT,20:4_0:0,0.351819125195277,20:4
3,RT,20:4_0:0,0.870087751541074,20:4
4,RT,20:4_0:0,0.955995224268235,20:4
5,RT,20:4_0:0,0.690758345577751,20:4
6,RT,20:4_0:0,0.614017928282837,20:4
7,Cold,20:4_0:0,0.985224501030429,20:4
8,Cold,20:4_0:0,1.05647979422327,20:4
9,Cold,20:4_0:0,0.7672695268503,20:4
10,Cold,20:4_0:0,0.874988806161123,20:4
11,Cold,20:4_0:0,0.744894692990552,20:4
12,Cold,20:4_0:0,0.682613268619883,20:4
1,RT,20:5_0:0,0.0763799403496265,20:5
2,RT,20:5_0:0,0.05028869953272,20:5
3,RT,20:5_0:0,0.108219439925709,20:5
4,RT,20:5_0:0,0.0944484713291741,20:5
5,RT,20:5_0:0,0.0917129832133368,20:5
6,RT,20:5_0:0,0.0932935315754833,20:5
7,Cold,20:5_0:0,0.290550370679808,20:5
8,Cold,20:5_0:0,0.206744937168911,20:5
9,Cold,20:5_0:0,0.197672980539236,20:5
10,Cold,20:5_0:0,0.163870416859169,20:5
11,Cold,20:5_0:0,0.210203154900607,20:5
12,Cold,20:5_0:0,0.130809354407415,20:5
1,RT,22:5_0:0,0.030197983772855,22:5
2,RT,22:5_0:0,0.0135624733778958,22:5
3,RT,22:5_0:0,0.0366944279618927,22:5
4,RT,22:5_0:0,0.0406520183919358,22:5
5,RT,22:5_0:0,0.0281290229406264,22:5
6,RT,22:5_0:0,0.0222498166826052,22:5
7,Cold,22:5_0:0,0.0452936650441502,22:5
8,Cold,22:5_0:0,0.0411811700683023,22:5
9,Cold,22:5_0:0,0.0452195551039273,22:5
10,Cold,22:5_0:0,0.0409810464998896,22:5
11,Cold,22:5_0:0,0.0428006318866782,22:5
12,Cold,22:5_0:0,0.0288637771468342,22:5
1,RT,22:6_0:0,0.505381229638525,22:6
2,RT,22:6_0:0,0.239681740049282,22:6
3,RT,22:6_0:0,0.651477734490597,22:6
4,RT,22:6_0:0,0.704574754552194,22:6
5,RT,22:6_0:0,0.516641633003159,22:6
6,RT,22:6_0:0,0.430173167594332,22:6
7,Cold,22:6_0:0,0.731717254359443,22:6
8,Cold,22:6_0:0,0.720431755102145,22:6
9,Cold,22:6_0:0,0.568214799191047,22:6
10,Cold,22:6_0:0,0.64934840082296,22:6
11,Cold,22:6_0:0,0.525969552855453,22:6
12,Cold,22:6_0:0,0.512521536106556,22:6
1,RT,22:6_0:0_2,0.1795808896695,22:6
2,RT,22:6_0:0_2,0.155070941221567,22:6
3,RT,22:6_0:0_2,0.234492859761076,22:6
4,RT,22:6_0:0_2,0.333018612742299,22:6
5,RT,22:6_0:0_2,0.209319158351725,22:6
6,RT,22:6_0:0_2,0.196237021266733,22:6
7,Cold,22:6_0:0_2,0.404193191970943,22:6
8,Cold,22:6_0:0_2,0.324322201545874,22:6
9,Cold,22:6_0:0_2,0.33138967747747,22:6
10,Cold,22:6_0:0_2,0.253836942558205,22:6
11,Cold,22:6_0:0_2,0.321716550260536,22:6
12,Cold,22:6_0:0_2,0.266387010311974,22:6
1,RT,18:0_20:3+1O,5.51709274022283,18:0
2,RT,18:0_20:3+1O,6.99928294992621,18:0
3,RT,18:0_20:3+1O,5.10886053821724,18:0
4,RT,18:0_20:3+1O,4.65558661297193,18:0
5,RT,18:0_20:3+1O,4.8164877251236,18:0
6,RT,18:0_20:3+1O,5.36300702496268,18:0
7,Cold,18:0_20:3+1O,5.6802999034761,18:0
8,Cold,18:0_20:3+1O,5.78262708019258,18:0
9,Cold,18:0_20:3+1O,5.48984553993463,18:0
10,Cold,18:0_20:3+1O,4.26723598953558,18:0
11,Cold,18:0_20:3+1O,4.64764443420042,18:0
12,Cold,18:0_20:3+1O,5.10094712384186,18:0
1,RT,14:0_16:0,1.98362835866208,14:0
2,RT,14:0_16:0,3.16001220035423,14:0
3,RT,14:0_16:0,2.06061774887386,14:0
4,RT,14:0_16:0,2.08968925564116,14:0
5,RT,14:0_16:0,2.0070689038584,14:0
6,RT,14:0_16:0,2.19470633295004,14:0
7,Cold,14:0_16:0,2.25125375071696,14:0
8,Cold,14:0_16:0,1.97201735854968,14:0
9,Cold,14:0_16:0,2.22162659989886,14:0
10,Cold,14:0_16:0,1.96296098703434,14:0
11,Cold,14:0_16:0,2.14193708132128,14:0
12,Cold,14:0_16:0,2.06941388546466,14:0
1,RT,14:0_18:2,0.700203764761379,14:0
2,RT,14:0_18:2,0.598922930844891,14:0
3,RT,14:0_18:2,0.680035436833175,14:0
4,RT,14:0_18:2,0.800427743114221,14:0
5,RT,14:0_18:2,0.65529871209238,14:0
6,RT,14:0_18:2,0.736239836995516,14:0
7,Cold,14:0_18:2,0.735279769193504,14:0
8,Cold,14:0_18:2,1.01126314742366,14:0
9,Cold,14:0_18:2,1.24646135477488,14:0
10,Cold,14:0_18:2,0.935360612589846,14:0
11,Cold,14:0_18:2,1.03283760602227,14:0
12,Cold,14:0_18:2,0.536636813502333,14:0
1,RT,14:0_18:3,0.0270021792532341,14:0
2,RT,14:0_18:3,0.00788979355922398,14:0
3,RT,14:0_18:3,0.0742953029097027,14:0
4,RT,14:0_18:3,0.0735270389793546,14:0
5,RT,14:0_18:3,0.033497885830614,14:0
6,RT,14:0_18:3,0.0359712011675856,14:0
7,Cold,14:0_18:3,0.0456133177701352,14:0
8,Cold,14:0_18:3,0.0386173391794024,14:0
9,Cold,14:0_18:3,0.110890077117586,14:0
10,Cold,14:0_18:3,0.0803818674388177,14:0
11,Cold,14:0_18:3,0.0727800442378117,14:0
12,Cold,14:0_18:3,0.0650543613385666,14:0
1,RT,14:0_20:4,0.183237877883381,14:0
2,RT,14:0_20:4,0.126140657409607,14:0
3,RT,14:0_20:4,0.219426691227272,14:0
4,RT,14:0_20:4,0.201967381426632,14:0
5,RT,14:0_20:4,0.164235797360032,14:0
6,RT,14:0_20:4,0.208195787970915,14:0
7,Cold,14:0_20:4,0.258638828670346,14:0
8,Cold,14:0_20:4,0.231415953471197,14:0
9,Cold,14:0_20:4,0.23844403695489,14:0
10,Cold,14:0_20:4,0.306685611442226,14:0
11,Cold,14:0_20:4,0.237090008071153,14:0
12,Cold,14:0_20:4,0.235769691385081,14:0
1,RT,14:0_22:6,0.436255741216646,14:0
2,RT,14:0_22:6,0.230683769382923,14:0
3,RT,14:0_22:6,0.506115676324333,14:0
4,RT,14:0_22:6,0.425067109145754,14:0
5,RT,14:0_22:6,0.342732933437584,14:0
6,RT,14:0_22:6,0.396403760022398,14:0
7,Cold,14:0_22:6,0.491672867104131,14:0
8,Cold,14:0_22:6,0.545259678956323,14:0
9,Cold,14:0_22:6,0.651066358981856,14:0
10,Cold,14:0_22:6,0.540698058146558,14:0
11,Cold,14:0_22:6,0.523757681508561,14:0
12,Cold,14:0_22:6,0.450135108686714,14:0
1,RT,15:0_18:2,0.36232613866404495,15:0
2,RT,15:0_18:2,0.279946318346142,15:0
3,RT,15:0_18:2,0.393969190924037,15:0
4,RT,15:0_18:2,0.434591112749188,15:0
5,RT,15:0_18:2,0.349758079172113,15:0
6,RT,15:0_18:2,0.396860788882583,15:0
7,Cold,15:0_18:2,0.455778687072908,15:0
8,Cold,15:0_18:2,0.408092600396632,15:0
9,Cold,15:0_18:2,0.766180850924636,15:0
10,Cold,15:0_18:2,0.39252275655649,15:0
11,Cold,15:0_18:2,0.538698558314023,15:0
12,Cold,15:0_18:2,0.449181020387853,15:0
1,RT,15:0_20:4,0.643762693835878,15:0
2,RT,15:0_20:4,0.354321935545129,15:0
3,RT,15:0_20:4,0.694852106454562,15:0
4,RT,15:0_20:4,0.719566773542109,15:0
5,RT,15:0_20:4,0.603053723287034,15:0
6,RT,15:0_20:4,0.580526488835873,15:0
7,Cold,15:0_20:4,0.632266691381553,15:0
8,Cold,15:0_20:4,0.705677373322042,15:0
9,Cold,15:0_20:4,0.846124828112572,15:0
10,Cold,15:0_20:4,0.587193410804577,15:0
11,Cold,15:0_20:4,0.616222052566114,15:0
12,Cold,15:0_20:4,0.634759399206752,15:0
