Name,Condition,variable,value,FA
10,Cold,18:1_20:3,0.0329443523163993,18:1
11,Cold,18:1_20:3,0.136840627894503,18:1
12,Cold,18:1_20:3,0.0815808742521327,18:1
1,RT,18:2_18:1,0.0484351460873306,18:2
2,RT,18:2_18:1,0.0237728743882864,18:2
3,RT,18:2_18:1,0.0528765301014093,18:2
4,RT,18:2_18:1,0.044114014094786,18:2
5,RT,18:2_18:1,0.0524725022059468,18:2
6,RT,18:2_18:1,0.0341281048212872,18:2
7,Cold,18:2_18:1,0.163048862282925,18:2
8,Cold,18:2_18:1,0.108810499456297,18:2
9,Cold,18:2_18:1,0.122821086410194,18:2
10,Cold,18:2_18:1,0.0572444191629116,18:2
11,Cold,18:2_18:1,0.181969820157998,18:2
12,Cold,18:2_18:1,0.0978328680006571,18:2
1,RT,18:2_20:4,0.0647356517485077,18:2
2,RT,18:2_20:4,0.0324433398249623,18:2
3,RT,18:2_20:4,0.0775061836370793,18:2
4,RT,18:2_20:4,0.070948805883675,18:2
5,RT,18:2_20:4,0.0559396869641416,18:2
6,RT,18:2_20:4,0.0555475295494475,18:2
7,Cold,18:2_20:4,0.164850134526272,18:2
8,Cold,18:2_20:4,0.125766823072412,18:2
9,Cold,18:2_20:4,0.141730038402171,18:2
10,Cold,18:2_20:4,0.0947286792328302,18:2
11,Cold,18:2_20:4,0.169714529643992,18:2
12,Cold,18:2_20:4,0.126680895183834,18:2
1,RT,22:6_22:5,0.0352475256851305,22:6
2,RT,22:6_22:5,0.0429335560755706,22:6
3,RT,22:6_22:5,0.0418380749246955,22:6
4,RT,22:6_22:5,0.0277497889874213,22:6
5,RT,22:6_22:5,0.0470164890402808,22:6
6,RT,22:6_22:5,0.0369892738740014,22:6
7,Cold,22:6_22:5,0.169958368035762,22:6
8,Cold,22:6_22:5,0.112599751434809,22:6
9,Cold,22:6_22:5,0.162481979747636,22:6
10,Cold,22:6_22:5,0.0810910329254758,22:6
11,Cold,22:6_22:5,0.181175240313777,22:6
12,Cold,22:6_22:5,0.107393095940431,22:6
1,RT,18:1_20:0,1.02297422626133,20:0
2,RT,18:1_20:0,0.51923455145683,20:0
3,RT,18:1_20:0,1.31066980240192,20:0
4,RT,18:1_20:0,1.14480793404292,20:0
5,RT,18:1_20:0,1.03682570600658,20:0
6,RT,18:1_20:0,0.978289841741132,20:0
7,Cold,18:1_20:0,1.31353659292235,20:0
8,Cold,18:1_20:0,1.52701828911971,20:0
9,Cold,18:1_20:0,1.45480774057428,20:0
10,Cold,18:1_20:0,1.31767372236383,20:0
11,Cold,18:1_20:0,1.13278996611453,20:0
12,Cold,18:1_20:0,1.30811170031742,20:0
1,RT,18:1_24:1,5.0057535144325,24:1
2,RT,18:1_24:1,2.65518192880769,24:1
3,RT,18:1_24:1,5.71950125491194,24:1
4,RT,18:1_24:1,5.87035787599803,24:1
5,RT,18:1_24:1,4.97192835870786,24:1
6,RT,18:1_24:1,4.23682766773337,24:1
7,Cold,18:1_24:1,6.44672080244407,24:1
8,Cold,18:1_24:1,7.63665690871357,24:1
9,Cold,18:1_24:1,6.01446946890589,24:1
10,Cold,18:1_24:1,5.22828965986075,24:1
11,Cold,18:1_24:1,5.9334652732079,24:1
12,Cold,18:1_24:1,6.23529172939426,24:1
